No,Akun,Account_EN,Januari-2024,Februari-2024,Maret-2024,April-2024,Mei-2024,Juni-2024,Juli-2024,Agustus-2024,September-2024,Oktober-2024,November-2024,Desember-2024,Januari-2025,Februari-2025,Maret-2025,April-2025,Mei-2025,Juni-2025,Juli-2025
34,Aset Tetap Lain,Other Fixed Assets,1468019.0,1459009.0,1443488.0,1320997.0,1344591.0,1335602.0,1324222.0,1318611.0,1320921.0,1338848.0,1321509.0,1355446.0,1340157.0,1288279.0,1279267.0,1281043.0,1251379.0,1236124.0,1221884.0
35,Aset Lain,Other Assets,13217757.0,13004726.0,13355927.0,13487488.0,13459834.0,13508669.0,13667357.0,13723029.0,13802786.0,14029195.0,13504933.0,17822668.0,18559751.0,18559904.0,18326163.0,18527845.0,18629869.0,18602902.0,19766428.0
36,Jumlah Bukan Investasi,Total Non Investment,114915949.0,118284148.0,118485983.0,119129649.0,117420857.0,120373602.0,120679364.0,117549006.0,114655448.0,115389483.0,112878809.0,122238834.0,129022750.0,130725964.0,130633676.0,135637534.0,130096909.0,132204396.0,132123834.0
37,JUMLAH ASET,Total Assets,230054099.0,234264316.0,234643082.0,235338969.0,233783237.0,236339127.0,238032432.0,236694728.0,234843517.0,235552324.0,233226067.0,242913625.0,249834981.0,252972369.0,254020874.0,260005591.0,255280040.0,257230783.0,259699663.0
38,Utang Klaim,Claims Payable,2039959.0,1988555.0,2123717.0,2297345.0,2111881.0,2038440.0,2252245.0,2533181.0,2331849.0,2744678.0,2590495.0,3158199.0,2625634.0,2547385.0,2621318.0,2519246.0,2691363.0,2409706.0,2446091.0
39,Utang Koasuransi,Coinsurance Payable,1408619.0,1362898.0,1286386.0,1206344.0,1397229.0,1393300.0,1440690.0,1276825.0,1046458.0,1042189.0,1023837.0,1161835.0,1355040.0,1251293.0,1170143.0,1395138.0,1229741.0,1305341.0,1371457.0
4,Obligasi Korporasi,Bonds,12242460.0,12308147.0,12366965.0,12140158.0,12036929.0,11958422.0,12080270.0,12031756.0,12145370.0,11909993.0,12218201.0,12080201.0,12170904.0,12272802.0,12782765.0,12905639.0,13007779.0,13285265.0,13462119.0
40,Utang Reasuransi,Reinsurance Payable,12598463.0,12291160.0,11397244.0,11884888.0,11906741.0,12880355.0,13374105.0,12720108.0,12038539.0,12225038.0,12392368.0,13606158.0,15279888.0,15850759.0,15450001.0,16370900.0,14623255.0,14854971.0,15494907.0
41,Utang Komisi,Commission Payable,2280151.0,2328092.0,2326590.0,2373121.0,2275311.0,2318558.0,2295237.0,2250271.0,2242320.0,2228408.0,2229001.0,2279857.0,2434011.0,2398879.0,2447567.0,2461881.0,2445810.0,2427721.0,2427259.0
42,Utang Pajak,Tax Payable,1230386.0,1207938.0,1228094.0,722784.0,874185.0,913136.0,914219.0,881170.0,889051.0,971220.0,952296.0,991142.0,1470083.0,1369513.0,1566318.0,895061.0,1006969.0,967408.0,1093667.0
43,Biaya yang Masih Harus Dibayar,Accrued Expense,3100254.0,2937247.0,2672815.0,2716192.0,2674970.0,2485897.0,2497351.0,2453027.0,2609110.0,2853115.0,2948348.0,2879414.0,2961535.0,3143334.0,2977744.0,3006310.0,2862312.0,2958030.0,3092880.0
44,Utang Lain,Others Payable,14889945.0,15775220.0,15755064.0,16894926.0,16231001.0,15849548.0,15844024.0,16071225.0,16369642.0,15673368.0,15523138.0,15868353.0,15722384.0,15515385.0,16402112.0,17087556.0,16131122.0,16142483.0,16290082.0
45,Jumlah Utang,Total Payable,37547777.0,37891110.0,36789910.0,38095601.0,37471318.0,37879232.0,38617871.0,38185807.0,37526970.0,37738017.0,37659483.0,39944958.0,41848576.0,42076549.0,42635203.0,43736092.0,40990574.0,41065660.0,42216343.0
46,Cadangan Premi,Premium Reserve,23796496.0,23392587.0,23433341.0,29887187.0,29787904.0,28949020.0,28576157.0,28708566.0,29152629.0,50649298.0,43986724.0,44002491.0,43587886.0,43831774.0,43595567.0,41735648.0,41897053.0,41971785.0,42609588.0
47,Cadangan Atas Premi Yang Belum Merupakan Pendapatan,Unearned Premium Reserve,28779708.0,31032967.0,30514624.0,29916418.0,29935065.0,31754214.0,30772223.0,29768628.0,28396555.0,27917602.0,26507367.0,30731023.0,34284738.0,34732100.0,34909079.0,37341934.0,35319480.0,35717739.0,35418560.0
48,Cadangan Klaim,Claim Reserve,49586866.0,50783585.0,52491405.0,56491721.0,55161503.0,55912932.0,56230446.0,55083877.0,54181596.0,52961026.0,53591553.0,52284751.0,52832993.0,54485013.0,54906391.0,56908325.0,57076626.0,57340849.0,56843201.0
49,Cadangan atas Risiko Bencana (Catastrophic),Catastrophic Reserve,113907.0,93016.0,91222.0,92374.0,93883.0,96205.0,98379.0,98779.0,99746.0,104504.0,92946.0,92095.0,92080.0,115216.0,115905.0,118380.0,119419.0,110728.0,111845.0
5,MTN,Medium Term Note,297710.0,274782.0,274786.0,273498.0,273503.0,261017.0,261024.0,262342.0,149850.0,103900.0,103900.0,102725.0,102725.0,102725.0,102725.0,102725.0,102725.0,102725.0,106055.0
50,Jumlah Cadangan Teknis,Total Technical Reserve,102276977.0,105302155.0,106530591.0,116387700.0,114978356.0,116712372.0,115677205.0,113659850.0,111830526.0,131632429.0,124178590.0,127110361.0,130797697.0,133164103.0,133526942.0,136104287.0,134412578.0,135141101.0,134983194.0
51,Jumlah Liabilitas,Total Liabilities,139824755.0,143193265.0,143320502.0,154483301.0,152449673.0,154591604.0,154295076.0,151845657.0,149357496.0,169370446.0,161838073.0,167055318.0,172646274.0,175240652.0,176162146.0,179840379.0,175403152.0,176206761.0,177199538.0
