1,1,1/31/2025,2/28/2025,3/31/2025,4/30/2025,5/31/2025,6/30/2025,7/31/2025,
,,,,,,,,,Dalam Jutaan Rupiah / In Millions Rupiah
Laporan Posisi Keuangan / Statement Of Financial Position,,,,,,,,,
Asuransi Umum Konvensional/Conventional General Insurance ,,,,,,,,,
,#VALUE!,"Januari/
January","Februari/
February","Maret/
March","April/
April","Mei/
May","Juni/ 
June","Juli/ 
July",Account
38,Utang Klaim," 2,625,634 "," 2,547,385 "," 2,621,318 "," 2,519,246 "," 2,691,363 "," 2,409,706 "," 2,446,091 ", Claims Payable 
39,Utang Koasuransi," 1,355,040 "," 1,251,293 "," 1,170,143 "," 1,395,138 "," 1,229,741 "," 1,305,341 "," 1,371,457 ", Coinsurance Payable 
40,Utang Reasuransi," 15,279,888 "," 15,850,759 "," 15,450,001 "," 16,370,900 "," 14,623,255 "," 14,854,971 "," 15,494,907 ", Reinsurance Payable 
41,Utang Komisi," 2,434,011 "," 2,398,879 "," 2,447,567 "," 2,461,881 "," 2,445,810 "," 2,427,721 "," 2,427,259 ", Commission Payable 
42,Utang Pajak," 1,470,083 "," 1,369,513 "," 1,566,318 "," 895,061 "," 1,006,969 "," 967,408 "," 1,093,667 ", Tax Payable 
43,Biaya yang Masih Harus Dibayar ," 2,961,535 "," 3,143,334 "," 2,977,744 "," 3,006,310 "," 2,862,312 "," 2,958,030 "," 3,092,880 ", Accrued Expense 
44,Utang Lain," 15,722,384 "," 15,515,385 "," 16,402,112 "," 17,087,556 "," 16,131,122 "," 16,142,483 "," 16,290,082 ", Others Payable 
45,Jumlah Utang ," 41,848,576 "," 42,076,549 "," 42,635,203 "," 43,736,092 "," 40,990,574 "," 41,065,660 "," 42,216,343 ", Total Payable 
46,Cadangan Premi," 43,587,886 "," 43,831,774 "," 43,595,567 "," 41,735,648 "," 41,897,053 "," 41,971,785 "," 42,609,588 ", Premium Reserve 
47,Cadangan Atas Premi Yang Belum Merupakan Pendapatan," 34,284,738 "," 34,732,100 "," 34,909,079 "," 37,341,934 "," 35,319,480 "," 35,717,739 "," 35,418,560 ", Unearned Premium Reserve 
48,Cadangan Klaim ," 52,832,993 "," 54,485,013 "," 54,906,391 "," 56,908,325 "," 57,076,626 "," 57,340,849 "," 56,843,201 ", Claim Reserve 
49,Cadangan atas Risiko Bencana (Catastrophic)," 92,080 "," 115,216 "," 115,905 "," 118,380 "," 119,419 "," 110,728 "," 111,845 ", Catastrophic Reserve 
50,Jumlah Cadangan Teknis," 130,797,697 "," 133,164,103 "," 133,526,942 "," 136,104,287 "," 134,412,578 "," 135,141,101 "," 134,983,194 ", Total Technical Reserve 
51,Jumlah Liabilitas," 172,646,274 "," 175,240,652 "," 176,162,146 "," 179,840,379 "," 175,403,152 "," 176,206,761 "," 177,199,538 ", Total Liabilities 
52,Pinjaman Subordinasi," 1,184,120 "," 1,185,830 "," 1,186,712 "," 1,153,068 "," 1,151,646 "," 1,146,996 "," 1,149,882 ", Subordinate Loan 
53,Modal Disetor ," 35,945,973 "," 35,995,973 "," 35,995,973 "," 36,020,973 "," 36,020,973 "," 36,020,973 "," 36,040,973 ", Paid in Capital 
54,Agio Saham," 2,056,724 "," 2,056,724 "," 2,056,714 "," 2,055,715 "," 2,055,715 "," 2,075,715 "," 2,049,856 ", Premium Stock 
55,Saldo Laba," 49,288,965 "," 49,890,805 "," 50,165,223 "," 52,021,051 "," 51,455,355 "," 52,406,778 "," 36,228,506 ", Retained Earning 
56,Komponen Ekuitas Lainnya," (11,287,075)"," (11,397,615)"," (11,545,893)"," (11,085,595)"," (10,806,802)"," (10,626,440)"," 7,030,909 ", Other Equity Components 
57,Jumlah Ekuitas," 76,004,587 "," 76,545,887 "," 76,672,017 "," 79,012,144 "," 78,725,242 "," 79,877,026 "," 81,350,243 ", Total Equities 
58,JUMLAH LIABILITAS DAN EKUITAS ," 249,834,981 "," 252,972,369 "," 254,020,874 "," 260,005,591 "," 255,280,040 "," 257,230,783 "," 259,699,663 ", Total Liabilities and Equities 
,,,,,,,,,
,* Pinjaman Polis dikategorikan menjadi instrumen investasi sejak Agustus 2017 berdasarkan POJK nomor 71/POJK.05/2016 tentang Kesehatan Keuangan Perusahaan Asuransi dan Perusahaan Reasuransi,,,,,,,,
,"** Penambahan jenis investasi ""Obligasi Daerah"" dan ""Dana Investasi Infrastruktur Berbentuk Kontrak Investasi Kolektif"" berdasarkan POJK nomor 27/POJK.05/2018",,,,,,,,
