,,,,,,,,,,,,,,Dalam Jutaan Rupiah / In Millions Rupiah
Laporan Posisi Keuangan / Statement Of Financial Position,,,,,,,,,,,,,,
Asuransi Umum Konvensional/Conventional General Insurance ,,,,,,,,,,,,,,
,Akun,"Januari/
January","Februari/
February","Maret/
March","April/
April","Mei/
May","Juni/
June","Juli/
July","Agustus/
August","September/
September","Oktober/
October","November/
November","Desember/
December",Account
25,Tagihan Premi Penutupan Langsung," 21,848,334 "," 22,160,022 "," 21,693,912 "," 21,226,673 "," 20,733,409 "," 21,258,441 "," 21,550,421 "," 20,227,436 "," 19,363,324 "," 19,310,495 "," 18,668,892 "," 24,002,160 ", Premium Receivable 
26,Tagihan Premi Reasuransi," 2,951,921 "," 3,133,447 "," 3,216,393 "," 3,270,905 "," 3,582,124 "," 3,557,903 "," 3,744,353 "," 4,358,988 "," 3,972,561 "," 2,582,277 "," 2,702,915 "," 2,661,440 ", Reinsurance Premium Receivable 
27,Aset Reasuransi," 55,088,526 "," 58,356,696 "," 59,029,896 "," 59,632,630 "," 58,072,266 "," 59,707,491 "," 59,196,117 "," 57,217,397 "," 54,953,799 "," 56,370,219 "," 55,079,310 "," 55,577,502 ", Reinsurance Asset 
28,Tagihan Klaim Koasuransi," 985,779 "," 741,466 "," 716,553 "," 829,482 "," 731,786 "," 837,327 "," 1,038,347 "," 852,057 "," 870,920 "," 738,795 "," 680,853 "," 991,241 ", Coinsurance Claim Receivable 
29,Tagihan Klaim Reasuransi," 6,223,665 "," 6,262,982 "," 6,010,543 "," 5,997,236 "," 5,808,493 "," 5,971,377 "," 6,081,757 "," 6,244,826 "," 6,022,330 "," 7,236,609 "," 7,009,689 "," 6,561,270 ", Reinsurance Claim Receivable 
30,Tagihan Investasi," 31,920 "," 31,487 "," 25,550 "," 70,589 "," 92,434 "," 91,923 "," 66,923 "," 66,841 "," 66,781 "," 94,853 "," 77,431 "," 69,168 ", Investment Receivable 
31,Tagihan Hasil Investasi," 838,574 "," 831,107 "," 757,596 "," 742,003 "," 643,228 "," 751,647 "," 900,793 "," 945,386 "," 839,682 "," 764,415 "," 674,186 "," 753,233 ", Investment Yield Receivable 
32,Bangunan dengan Hak Strata atau Tanah dengan Bangunan untuk Dipakai Sendiri," 4,352,415 "," 4,344,919 "," 4,319,905 "," 4,403,157 "," 4,398,722 "," 4,389,657 "," 4,386,821 "," 4,400,431 "," 4,393,758 "," 4,387,479 "," 4,400,437 "," 4,460,020 ", Property 
33,Biaya Akuisisi yang Ditangguhkan," 507,250 "," 529,833 "," 566,565 "," 569,166 "," 583,380 "," 592,330 "," 596,356 "," 551,295 "," 549,520 "," 546,776 "," 543,679 "," 557,990 ", Deferred Acquisition Cost 
34,Aset Tetap Lain," 1,468,019 "," 1,459,009 "," 1,443,488 "," 1,320,997 "," 1,344,591 "," 1,335,602 "," 1,324,222 "," 1,318,611 "," 1,320,921 "," 1,338,848 "," 1,321,509 "," 1,355,446 ", Other Fixed Assets 
35,Aset Lain," 13,217,757 "," 13,004,726 "," 13,355,927 "," 13,487,488 "," 13,459,834 "," 13,508,669 "," 13,667,357 "," 13,723,029 "," 13,802,786 "," 14,029,195 "," 13,504,933 "," 17,822,668 ", Other Assets 
36,Jumlah Bukan Investasi," 114,915,949 "," 118,284,148 "," 118,485,983 "," 119,129,649 "," 117,420,857 "," 120,373,602 "," 120,679,364 "," 117,549,006 "," 114,655,448 "," 115,389,483 "," 112,878,809 "," 122,238,834 ", Total Non Investment 
37,JUMLAH ASET," 230,054,099 "," 234,264,316 "," 234,643,082 "," 235,338,969 "," 233,783,237 "," 236,339,127 "," 238,032,432 "," 236,694,728 "," 234,843,517 "," 235,552,324 "," 233,226,067 "," 242,913,625 ", Total Assets 
